번호,분류,우선순위,영역,처리내용,적용위치,상태
1,비즈니스/전환,P0,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
2,비즈니스/전환,P0,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
3,비즈니스/전환,P0,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
4,비즈니스/전환,P0,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
5,비즈니스/전환,P0,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
6,비즈니스/전환,P0,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
7,비즈니스/전환,P0,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
8,비즈니스/전환,P0,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
9,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
10,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
11,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
12,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
13,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
14,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
15,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
16,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
17,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
18,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
19,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
20,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
21,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
22,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
23,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
24,비즈니스/전환,P1,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
25,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
26,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
27,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
28,비즈니스/전환,P2,비즈니스/전환,전환 CTA·우선순위·신뢰 지표·고객 행동 흐름 보강,apps/public/home/index.html,완료
